City,Country,Temperature,Humidity,Cloudiness,Windspeed,Date,Longitude,Latitude
Constitución,CL,56.8,83,51,4.18,1592581218,-72.42,-35.33
Pisco,PE,66.2,72,90,8.05,1592581516,-76.22,-13.7
Mutare,ZW,54.14,89,90,2.35,1592581516,32.67,-18.97
Bucerías,MX,81.0,74,5,5.53,1592581516,-105.33,20.75
Nguru,NG,98.29,27,43,8.5,1592581516,10.45,12.88
Rio Grande,BR,64.4,68,20,10.29,1592581281,-52.1,-32.03
Bairiki Village,KI,82.4,74,20,3.36,1592581076,172.98,1.33
Nchelenge,ZM,71.65,57,24,1.92,1592581062,28.73,-9.35
Palmer,US,82.0,57,75,3.36,1592581056,-72.33,42.16
Fort Nelson,CA,60.8,82,40,3.85,1592581517,-122.7,58.81
Harper,LR,80.91,74,80,10.56,1592580998,-7.72,4.38
Yaan,NG,79.48,75,97,1.95,1592581100,8.57,7.38
Nanfeng,CN,79.18,87,1,1.16,1592581517,111.8,23.74
Kashgar,CN,82.4,12,75,6.71,1592581517,75.98,39.45
Vanavara,RU,59.47,65,37,7.09,1592580920,102.28,60.34
Diofior,SN,86.0,66,86,14.99,1592581518,-16.67,14.18
Pacific Grove,US,55.4,87,90,4.7,1592581519,-121.92,36.62
Tambopata,PE,86.0,66,20,4.7,1592581519,-69.18,-12.73
Salta,AR,62.6,48,9,4.7,1592581519,-65.41,-24.79
Amazar,RU,53.62,91,100,4.97,1592581520,120.88,53.86
Tibagi,BR,75.2,54,0,6.98,1592581520,-50.41,-24.51
Ballina,AU,57.2,100,75,5.82,1592581029,153.57,-28.87
Kiryat Gat,IL,80.01,33,0,1.01,1592580864,34.76,31.61
Altona,DE,68.0,77,100,14.99,1592581521,9.93,53.55
Gorodovikovsk,RU,77.72,54,77,5.48,1592581521,41.93,46.09
Akdağmadeni,TR,60.71,74,92,9.91,1592581064,35.88,39.66
Krasnovishersk,RU,63.3,53,98,7.56,1592581522,57.08,60.41
Kisangani,CD,79.81,59,82,2.26,1592581522,25.2,0.52
Adrar,MR,106.84,9,0,10.27,1592580831,-10.07,20.5
San Jose,US,68.0,59,40,5.82,1592580910,-121.89,37.34
Tura,IN,76.15,95,79,4.63,1592581525,90.22,25.52
Coquimbo,CL,59.0,58,81,2.24,1592581525,-71.34,-29.95
Sambava,MG,70.65,91,100,20.8,1592581525,50.17,-14.27
Dingle,PH,76.08,82,86,1.45,1592581027,122.67,11.0
Nouadhibou,MR,78.8,57,0,18.34,1592581525,-17.03,20.93
Aasiaat,GL,41.99,66,39,15.77,1592581526,-52.87,68.71
Msanga,TZ,75.2,50,40,9.17,1592581526,36.03,-6.05
Moerai,PF,71.55,80,54,18.63,1592581083,-151.33,-22.43
Pampierstad,ZA,52.72,43,0,6.67,1592581526,24.69,-27.78
Katsuura,JP,68.0,92,96,1.01,1592581526,140.3,35.13
Lavrentiya,RU,49.39,52,6,9.93,1592581527,-171.0,65.58
Chui,UY,62.29,60,45,5.3,1592581527,-53.46,-33.7
Santa,PH,79.99,81,13,2.37,1592581499,120.43,17.49
Karwar,IN,81.19,87,100,9.26,1592581527,74.13,14.8
Sistranda,NO,71.6,53,0,13.87,1592581038,8.83,63.73
Ludvika,SE,80.01,39,62,8.01,1592581527,15.19,60.15
Lompoc,US,59.0,87,90,3.36,1592581249,-120.46,34.64
Narsīpatnam,IN,86.0,79,75,2.24,1592581528,82.62,17.67
Kangaatsiaq,GL,44.22,61,18,16.67,1592581025,-53.46,68.31
Vangaži,LV,84.2,42,63,6.93,1592581528,24.55,57.09
Russell,US,84.2,58,1,5.82,1592580890,-85.2,32.35
Dobson,US,77.0,83,40,4.7,1592581528,-80.72,36.4
Kalianget,ID,81.27,76,86,12.44,1592581528,113.93,-7.05
Darnah,LY,76.12,55,0,13.73,1592581528,22.64,32.77
Karratha,AU,72.0,47,0,4.92,1592581064,116.85,-20.74
Antalaha,MG,69.73,91,100,16.46,1592581529,50.28,-14.9
Libreville,GA,82.4,74,20,8.05,1592581529,9.45,0.39
Bertoua,CM,76.1,88,96,2.82,1592581529,13.68,4.58
Srednekolymsk,RU,71.76,35,0,7.54,1592581529,153.68,67.45
Kahului,US,77.0,69,40,14.99,1592581085,-156.47,20.89
Esperance,AU,48.2,81,75,8.05,1592581529,121.9,-33.87
Rabat,MA,73.4,60,20,11.41,1592581277,-6.84,33.99
Diamantino,BR,88.45,39,27,8.01,1592581530,-56.45,-14.41
Quelimane,MZ,73.0,83,75,6.93,1592581028,36.89,-17.88
Chu,KZ,82.0,62,0,7.0,1592581530,73.76,43.6
Rāvar,IR,88.18,12,63,1.52,1592581530,56.81,31.27
Linhares,BR,79.48,70,53,6.31,1592581530,-40.07,-19.39
Altay,CN,58.86,39,83,5.86,1592580940,88.12,47.87
Shingū,JP,63.14,88,49,7.23,1592581531,135.98,33.73
Hay River,CA,69.8,52,20,10.29,1592581016,-115.8,60.82
Olafsvik,IS,52.16,69,15,10.0,1592581023,-23.71,64.89
Guantánamo,CU,82.4,83,75,6.93,1592581531,-75.21,20.14
Victor Harbor,AU,52.0,94,3,13.2,1592581531,138.62,-35.57
Hastings,GB,66.99,68,80,25.28,1592581394,0.57,50.86
Tadine,NC,70.12,82,66,16.22,1592581531,167.88,-21.55
Camacha,PT,73.4,69,20,12.75,1592580800,-16.33,33.08
Neubrandenburg,DE,64.0,87,100,11.74,1592581532,13.27,53.57
Deyang,CN,81.0,1,100,0.76,1592581532,104.38,31.13
Ranau,MY,81.0,94,40,3.36,1592581532,116.66,5.95
Kavaratti,IN,84.31,78,100,13.76,1592581532,72.64,10.57
Uruçuí,BR,89.44,45,19,10.04,1592581532,-44.56,-7.23
Marrakesh,MA,87.8,33,20,4.7,1592581514,-8.01,31.63
Tabou,CI,80.62,76,78,10.49,1592581533,-7.35,4.42
Kumluca,TR,83.12,43,19,1.74,1592581533,30.29,36.37
Cassilândia,BR,82.35,45,1,8.55,1592581027,-51.73,-19.11
Östersund,SE,73.4,40,1,5.82,1592581015,14.64,63.18
Salinópolis,BR,81.95,82,22,10.98,1592581533,-47.36,-0.61
Bluefield,US,72.0,88,90,6.93,1592581533,-81.22,37.27
Lufilufi,WS,80.78,81,100,21.56,1592581534,-171.6,-13.87
Cedar City,US,59.0,26,1,4.7,1592580833,-113.06,37.68
Mossamedes,AO,86.0,48,56,17.22,1592581534,12.15,-15.2
Potam,MX,93.0,54,40,11.41,1592581534,-110.38,27.6
Dalhousie,IN,72.34,30,33,7.25,1592581534,75.98,32.53
Teguise,ES,80.6,51,20,26.4,1592581018,-13.56,29.06
Zabaykal'sk,RU,62.67,68,84,4.9,1592581535,117.32,49.63
Half Moon Bay,US,68.0,72,40,6.76,1592581535,-122.43,37.46
Kamień Pomorski,PL,64.99,82,90,5.82,1592581535,14.77,53.97
Quba,AZ,70.57,39,0,0.56,1592581535,48.52,41.36
Kruisfontein,ZA,65.59,31,0,10.13,1592581017,24.73,-34.0
Northfield,US,71.6,77,40,8.05,1592581536,-93.16,44.46
Portalegre,PT,87.01,23,0,8.05,1592581536,-7.43,39.29
Nioro,GM,94.42,46,77,12.41,1592581536,-15.75,13.35
Innisfail,AU,66.31,86,65,6.22,1592581536,146.03,-17.53
Kintampo,GH,82.11,73,81,2.71,1592581536,-1.73,8.06
São João da Barra,BR,80.6,51,100,9.17,1592581330,-41.05,-21.64
Province of Mantua,IT,82.0,53,40,6.93,1592581536,10.78,45.17
Belaya Gora,RU,71.02,41,35,3.69,1592581035,146.42,68.53
Lodja,CD,82.6,41,74,1.41,1592581537,23.43,-3.48
Kamenka,RU,82.99,43,1,3.0,1592581537,42.77,51.32
Draguignan,FR,84.2,32,0,17.22,1592581537,6.47,43.53
Berlevåg,NO,43.02,77,98,22.77,1592581537,29.09,70.86
Igarka,RU,48.54,64,100,10.74,1592581538,86.58,67.47
Emerald,AU,62.6,88,90,4.7,1592581538,148.17,-23.53
Sisophon,KH,78.78,87,79,5.06,1592581538,102.97,13.59
Warrington,GB,61.0,87,75,13.87,1592581094,-2.58,53.39
Fort Abbas,PK,106.29,20,0,14.16,1592581538,72.85,29.19
Dunedin,NZ,44.01,75,97,11.01,1592581539,170.5,-45.87
Severo-Yeniseyskiy,RU,57.99,73,100,3.89,1592581539,93.04,60.37
Macusani,PE,50.86,41,0,5.88,1592581539,-70.43,-14.08
Pyinmana,MM,75.81,86,98,6.69,1592581539,96.22,19.73
Marathon,US,77.0,61,40,5.82,1592581381,-89.77,44.9
Sonoma,US,66.99,82,1,4.7,1592581540,-122.9,38.55
Dongzhen,CN,77.76,85,72,2.26,1592581540,110.94,22.38
Asău,RO,73.0,73,47,2.95,1592581540,26.4,46.43
Nelson Bay,AU,54.0,93,19,8.52,1592581540,152.15,-32.72
Vilhena,BR,82.4,58,20,9.17,1592581540,-60.15,-12.74
Aquiraz,BR,86.0,62,75,13.87,1592581540,-38.39,-3.9
Kirkwall,GB,55.99,93,75,11.41,1592581541,-2.96,58.98
Wanning,CN,82.2,88,100,9.46,1592581541,110.4,18.8
Talcahuano,CL,55.4,93,75,8.05,1592581541,-73.12,-36.72
Stranda,NO,79.0,36,98,4.05,1592581541,6.94,62.31
Flinders,AU,57.99,87,27,1.01,1592581046,150.86,-34.58
Tinqueux,FR,71.6,46,48,9.17,1592581541,3.98,49.25
Hofn,IS,53.6,71,74,13.87,1592581541,-15.21,64.25
College,US,57.2,93,90,2.33,1592581287,-147.8,64.86
Beyneu,KZ,92.91,19,89,10.4,1592581048,55.2,45.32
Ternate,ID,81.64,76,99,3.96,1592581073,127.4,0.8
Erzin,TR,73.99,77,56,6.22,1592581542,36.2,36.96
Leningradskiy,RU,42.96,68,74,2.68,1592581542,178.42,69.38
Girona,ES,75.99,56,20,12.75,1592581542,2.82,41.98
Pishin,PK,80.01,13,0,3.96,1592581542,67.0,30.58
Estevan,CA,60.01,67,1,12.75,1592581543,-102.98,49.13
Shenjiamen,CN,68.5,90,100,4.07,1592581543,122.3,29.96
Kirakira,SB,79.07,82,100,7.52,1592581543,161.92,-10.45
Carutapera,BR,83.07,79,0,8.59,1592581543,-46.02,-1.2
Alice,US,87.8,66,40,17.22,1592581543,-98.07,27.75
Filingué,NE,101.01,21,0,2.44,1592581543,3.32,14.35
Mount Isa,AU,71.6,40,75,5.82,1592581543,139.5,-20.73
Ripanj,RS,80.6,44,40,12.75,1592581544,20.52,44.64
Sabzawār,IR,98.6,14,20,6.93,1592581544,57.68,36.21
Oistins,BB,80.6,88,40,8.05,1592581544,-59.53,13.07
Melfi,IT,80.6,62,75,8.05,1592581544,15.65,41.0
Matagami,CA,82.4,39,1,9.17,1592581544,-77.63,49.75
Port-Cartier,CA,68.0,72,20,19.46,1592581544,-66.87,50.03
Balabac,PH,83.41,73,100,4.34,1592581544,117.06,7.99
Barabai,ID,74.66,90,97,1.59,1592581545,115.38,-2.58
Buchanan,LR,86.0,70,75,12.75,1592581545,-10.05,5.88
Mirny,RU,59.0,72,22,2.24,1592581545,113.96,62.54
Port Moresby,PG,78.8,88,40,17.22,1592581042,147.18,-9.44
Tāndā,IN,80.22,89,100,12.37,1592581545,82.65,26.55
Palauig,PH,81.34,78,100,4.43,1592581053,119.9,15.44
Pāveh,IR,72.46,23,0,5.55,1592581546,46.36,35.04
Jatai,BR,80.53,41,76,7.72,1592581546,-51.71,-17.88
Caravelas,BR,80.08,67,14,10.63,1592581548,-39.25,-17.71
Den Helder,NL,69.01,72,75,11.41,1592581548,4.76,52.96
Kampot,KH,82.4,78,20,5.82,1592581548,104.18,10.62
Madimba,TZ,78.8,61,20,13.87,1592581548,40.33,-10.4
Poletayevo,RU,64.4,31,43,4.47,1592581549,61.11,55.03
Sherbakul',RU,50.0,53,40,8.95,1592581549,72.4,54.63
Carapeguá,PY,86.0,55,90,17.22,1592581549,-57.23,-25.8
Japura,ID,75.38,94,48,2.13,1592581549,102.35,-0.32
Kloulklubed,PW,77.0,94,75,3.36,1592581069,134.26,7.04
Songjianghe,CN,54.95,83,29,3.85,1592581550,127.48,42.19
Ilhéus,BR,77.0,88,75,4.7,1592581063,-39.05,-14.79
Dvinskoy Bereznik,RU,54.14,73,55,13.8,1592581550,42.71,62.86
Correntina,BR,84.94,36,0,7.16,1592581550,-44.64,-13.34
Mackenzie,CA,62.6,67,90,10.29,1592581550,-123.17,55.3
Souillac,MU,71.6,68,75,16.11,1592581550,57.52,-20.52
Misratah,LY,94.77,22,0,11.81,1592581550,15.09,32.38
Friesach,AT,68.0,60,75,6.93,1592581551,14.41,46.96
Sibu,MY,77.0,94,40,5.82,1592581551,111.82,2.3
Portmore,JM,87.8,70,20,19.46,1592581464,-76.87,17.97
